novice_prompt,expert_prompt
"A woman making funny sounds with her mouth, suitable for funny videos.","This is a comedic vocal performance that features a female vocalist making a series of humorous, vocal percussion sounds, including vocalizations and mouth noises, with a playful and whimsical atmosphere, suitable for use in a comedy video or children's content. The audio quality is amateur and the vocal performance is amateur,"
"Sad country song with fiddle and acoustic guitar, for emotional movie scenes.","This is a melancholic country ballad that features a fiddle playing a mournful melody accompanied by a simple, yet emotive acoustic guitar accompaniment, evoking a sense of wistful longing and nostalgia. The song's somber atmosphere and traditional country instrumentation would be well-suited for"
"A rock guitar solo cover with drums and bass, sounds passionate and muffled, likely recorded on a phone.","This is a live rock music performance, featuring a passionate electric guitar solo accompanied by a steady drum beat and a prominent bass line, with a muffled audio quality likely due to a low-fidelity recording on a phone. The piece has an energetic and emotive atmosphere, with the guitar solo being the"
Calming classical music similar to Bach with harp,"This is a classical music piece belonging to the baroque period, performed with a harp, and features a catchy tune with a positive aura, making it suitable for wedding music, documentary soundtracks, or background music for a classy restaurant or museum. The piece's soothing and elegant quality is reminiscent of"
"An energetic instrumental piece with fast tempo, lively piano, funky bass, and digital drums, creating a cheerful and lively atmosphere with electronic sounds.","This is an instrumental electronic dance music piece, characterized by a fast tempo, a lively piano melody, a funky bass line, and a driving digital drum beat, creating a cheerful and lively atmosphere with a strong emphasis on electronic sounds. The piece features a dynamic and energetic sound, with a focus on perc"
"A sleepy lullaby with xylophone and dreamy piano, perfect for bedtime.","This is a soothing lullaby piece that features a xylophone playing a gentle melody accompanied by a dreamy piano accompaniment, with a slow tempo and a calming atmosphere, evoking a sense of serenity and tranquility. The piece is a perfect example of a classical instrumental piece,"
A lively percussion performance with one person playing a steady beat on congas while the other person improvises with different rhythms and sounds. It sounds like a live performance showing off a solo.,"This is an improvisational percussion piece that features a congas soloist playing a steady rhythmic pattern while another percussionist improvises with a variety of rhythmic and timbral variations, showcasing a live performance of virtuosic percussion playing. The music has a high-energy, dynamic atmosphere, with the"
"A gentle instrumental piece with strings, piano, and guitar, suitable for a sign language video, with a positive vibe for beat-making.","This is a melodic instrumental piece that features a soothing piano accompaniment, a lilting string section, and a gentle guitar melody, evoking a serene atmosphere that is well-suited for a sign language video or a relaxing background track. The piece's positive and uplifting vibe, characterized by a"
"A slow heartbeat sound builds up to a metallic splash with reverb, perfect for a movie scene, in low quality.","This low-fidelity audio clip features a slow, atmospheric sound design that builds up to a metallic splash effect with a strong reverb, evoking a sense of tension and anticipation, making it suitable for a movie scene. The sound design is characterized by a gradual, heartbeat-like rhythm that culminates"
"A man sings with gentle music in the background, poor audio quality with background sounds like a sliding drawer.","This is a low-fidelity recording of a male vocalist singing over a soft, ambient instrumental accompaniment, with a background of subtle background noise, including a creaking or sliding drawer sound, that detracts from the overall audio quality. The song's gentle, soothing atmosphere is reminiscent of a"
"Rock music with electric guitar, bass, drums, and male vocals, with a lot of energy.","This is a high-energy rock music piece that features a male vocalist singing in a powerful, aggressive manner over a driving rhythm section consisting of a prominent electric guitar, a strong bass line, and a fast-paced rock drum beat. The piece has an energetic and aggressive atmosphere, characteristic of the punk rock sub"
"A soulful R&B song with a piano melody and emotional female singer, with some background noises like lip smacks.","This is a soulful R&B ballad that features a melancholic female vocalist singing over a mellow piano melody, accompanied by subtle background noises of lip smacks and other ambient sounds that add to the emotional and intimate atmosphere of the song. The piano accompaniment is a simple, yet effective"
"A rock song cover with electric guitar solo over background music, recorded with low quality sound, but full of passion and emotion.","This is a rock music piece, specifically a cover song, that features an electric guitar solo as the main melodic instrument, accompanied by a background track with a full band, including a strong bass line and a driving drum beat, and is characterized by a low audio quality but an intense and passionate atmosphere"
"Passionate song with male singer and acoustic guitar, some talking in between, noisy recording","This is a folk song with a male vocalist singing in a passionate manner, accompanied by an acoustic guitar playing a simple chord progression, with the addition of a talking section in between the singing. The audio quality is poor, with a noisy and reverberant sound, suggesting a live recording or a low"
A big bell ringing in a room with a man talking softly in the background in a live setting.,"This is a live recording of a bell being struck in a reverberant acoustic space, accompanied by a soft, ambient male vocal in the background, likely a spoken word or a soft, melodic singing. The audio quality is likely to be poor due to the live setting, with a strong emphasis"
A jazzy organ tune with a muffled and distorted sound.,"This is a jazz piece that features a muffled and distorted organ sound, with a tempo that is medium to fast, accompanied by a walking bass line and a steady drumming rhythm. The organ's muffled and distorted sound is reminiscent of a vintage organ, evoking a nostalgic and atmospheric feel that"
"A windpipe music with nature sounds like flowing water and birds chirping, with a loud and changing tone.","This piece is an instrumental soundscape that features a windpipe instrument, accompanied by a soundscape of ambient nature sounds, including the soothing sounds of flowing water and birds chirping, with a dynamic and expressive tone that shifts between loud and soft. The music has a free-form, atmospheric quality, with"
"A traditional Swiss song with male and female yodeling, melodeon background, suitable for an Alps movie","This traditional Swiss folk song features a male and female vocalist yodeling in harmony, accompanied by a melodeon playing a lively, rustic melody, while the tempo is moderate with a steady rhythmic pattern, evoking a sense of traditional Swiss folk music. The song's nostalgic and earthy atmosphere"
"Passionate classical music with violin, electric guitar, and crowd clapping sounds, with emotional feel.","This is a classical music piece that features a violin as the main melodic instrument, accompanied by an electric guitar playing a complementary harmony, and a crowd clapping sound effect that adds a sense of communal energy to the performance. The piece has a passionate and emotional feel, with a strong emphasis on the"
"Energetic rock instrumental with drums, bass, acoustic and electric guitar, suitable for dancing.","This high-energy instrumental rock piece features a driving rhythm section with a prominent bass line and a fast-paced drum beat, accompanied by a melodic electric guitar solo and a rhythmic acoustic guitar accompaniment, creating a dynamic and energetic atmosphere suitable for dancing. The song's tempo and instrumentation are reminiscent of"
"Romantic slow jazz song with male singers, drums, double bass, and trumpets, suitable for a classic romantic movie.","This is a slow tempo jazz ballad that features a male vocalist singing in a soulful, emotive manner, accompanied by a lush arrangement of double bass, drums, and a brass section including trumpets, evoking a classic, nostalgic atmosphere. The piece is a quintessential example of a romantic"
"Sci-fi hip-hop music with strong bass, electronic drums, and futuristic sound","This futuristic hip-hop track features a male vocalist rapping over a driving electronic drum pattern, a prominent bassline, and a soundscape of futuristic sound design elements, including synthesized lead lines and ambient pads. The song's aggressive, high-energy beat and otherworldly sound effects evoke a sense of futuristic"
A slow song sung by a female singer with beautiful harmonies and background noises like rustling and talking.,"This is a melancholic ballad that features a female vocalist singing with lush harmonies, accompanied by a mellow piano melody and subtle background noises, including ambient rustling and soft, indistinct talking, evoking a sense of intimacy and emotional depth. The song's slow tempo and soothing atmosphere"
"A fast accordion tune with tabla-like percussion and high-pitched male vocals, possibly played live.","This is a lively folk music piece, specifically a fast-paced polka or folk dance tune, featuring a high-pitched male vocalist accompanied by a live accordion and a tabla-like percussion instrument, likely a dholak or a similar Indian or Middle Eastern percussion instrument. The energetic and upbeat tempo of this"
"A lively Latin dance music piece with a female dance instructor guiding the steps, energetic vibe, and clear bass and drum beats.","This Latin dance music piece features a female vocalist guiding the steps in a lively and energetic manner, accompanied by a prominent bass line and driving drum beat that is characteristic of the Latin music style. The tempo is fast-paced, with a strong emphasis on percussion, including the clave and cowbell, and a"
"Two guitars playing fast and challenging flamenco music, a bit messy.","This flamenco piece features a complex and intricate guitar melody played by two guitars in a call-and-response pattern, with a fast-paced and technically demanding rhythm that showcases the virtuosity of the guitarists, while the audio quality is somewhat rough and amateurish. The music has a passionate and intense atmosphere"
"A folk festival song with drums, bass, keyboard, and electric guitar, sung by a male voice in a high pitch.","This folk song features a male vocalist singing in a high pitch, accompanied by a driving rhythm section consisting of a prominent bass line, steady drumming, and a syncopated keyboard melody, while the electric guitar plays a folk-inspired chord progression. The song has a lively and energetic atmosphere, with a"
"Lively Kurdish folk music with baglama and zurna, good for folk dance class.","This traditional Kurdish folk piece features a male vocalist accompanied by the baglama, a stringed instrument, and the zurna, a double-reed woodwind instrument, playing a lively melody with a strong rhythmic accompaniment, evoking a sense of energetic folk dance. The music has a"
"Live southern rock music with electric guitar solo, groovy atmosphere, suitable for a rock bar background.","This is a live performance of a southern rock music piece, characterized by a male vocalist singing over a driving rhythm section, with a prominent electric guitar solo and a strong, syncopated bass line that creates a groovy atmosphere, suitable for a rock bar background. The tempo is medium to fast,"
"A fast and intense rock song with loud drums, electric guitar, and keyboard for headbanging.","This high-energy rock music piece features a fast-paced tempo with a driving rhythm section, aggressive electric guitar riffs, and a prominent keyboard accompaniment, creating a sonic landscape that is well-suited for headbanging. The song's intense atmosphere is characterized by a strong emphasis on the kick drum"
"Two girls singing together with a ukulele, having fun at home.","This is an acoustic folk song featuring a duet of female vocalists singing in harmony over a ukulele accompaniment, with a cheerful and carefree atmosphere, as if being performed in an intimate home setting. The ukulele plays a simple chord progression, accompanied by the girls' joyful"
"A suspenseful instrumental soundtrack with strings, horns, drums, and piano that builds anticipation for a movie scene.","This is a cinematic instrumental piece that features a dramatic build-up of tension, with a combination of sustained strings, a brass section playing a repetitive, ominous melody, a driving drum pattern, and a pulsing piano accompaniment that creates an atmosphere of anticipation and suspense. The music is a masterful"
Relaxing sitar music for meditation or relaxation.,"This is a traditional Indian classical music piece, performed on the sitar, with a soothing and calming melody that features a slow, steady rhythm and a repetitive, contemplative pattern, evoking a sense of serenity and inner peace. The piece is well-suited for meditation or relaxation, with a"
"A sad song with a haunting feel, sung by a woman with piano and soft horns in the background.","This melancholic ballad features a female vocalist singing a poignant melody accompanied by a minimalist piano accompaniment and a subtle, mournful brass section, evoking a haunting atmosphere. The song's somber mood is underscored by the sparse, elegiac arrangement, with the piano and horns providing a"
A soothing and romantic retro pop song with male vocal harmony and various instruments like drums and keyboard.,"This is a retro pop song that features a male vocalist singing in harmony, accompanied by a lush arrangement of instruments including a drum kit, keyboard, and other melodic accompaniment, evoking a nostalgic and sentimental mood. The song's sound is characterized by a blend of vintage and modern elements,"
"An upbeat pop rock song with male singer, electric guitar, drums, and synth bass.","This upbeat pop rock song features a male vocalist singing over a driving electric guitar melody, accompanied by a strong drum beat and a prominent synth bass line, creating a high-energy atmosphere. The song's tempo is fast-paced, with a catchy and repetitive guitar riff and a syncopated drum pattern that prop"
"A lively instrumental with a marimba melody that sounds a bit off, playing louder on the left side.","This is an instrumental piece that features a marimba melody with a slightly off-pitched, yet lively and energetic quality, played on a low-fidelity recording with a noticeable left channel bias, where the sound is louder on the left side. The marimba melody is the main focus of the"
"A cool electronic music piece with piano and digital drums, upbeat and futuristic, great for dancing.","This electronic dance music piece features a melodic piano accompaniment and a driving digital drum pattern, with a tempo that is fast-paced and energetic, evoking a futuristic atmosphere that is well-suited for a dance floor. The piece is a prime example of a synth-pop track, with a focus"
A guy making drum sounds with his mouth really fast and energetically.,"This percussive piece features a male vocalist creating a fast-paced, energetic mouth percussion sound, accompanied by a rhythmic pattern that is reminiscent of a drum solo. The tempo is fast-paced and the mood is lively, making it a suitable accompaniment for a high-energy dance or action scene in"
"Funny hip-hop song with male rapper, piano, electric guitar, and drums, good for funny videos on social media.","This hip-hop track features a male vocalist rapping in a humorous manner over a repetitive piano melody, accompanied by a funky electric guitar riff and a driving drum beat, creating a catchy and energetic atmosphere that is well-suited for a comedy video or social media clip. The song's lightheart"
"A happy outdoor festival song with drums, bass, guitar, saxophone, and bongos.","This is an upbeat festival music piece that features a male vocalist singing over a driving rhythm section, with a prominent bass line, energetic drumming, and syncopated guitar chords, accompanied by a soulful saxophone melody and percussive bongos, evoking a joyful and carefree atmosphere"
A heartfelt guitar solo played at medium speed with a vintage sound.,"This is a melodic instrumental piece that features a solo guitar performance with a vintage tone, played at a medium tempo with a soulful and emotive quality. The guitar's warm, overdriven sound is reminiscent of classic rock and blues, with a nostalgic and heartfelt atmosphere."
A DJ scratching vinyl sound with fast beats and synth melody at different intervals.,"This is an electronic dance music piece that features a DJ scratching vinyl sound, accompanied by a fast-paced drum pattern and a synth melody that is played at irregular intervals, creating a dynamic and energetic atmosphere. The music is a fusion of hip hop and electronic dance music, with a focus on the DJ's"
"A catchy electronic pop song with a female singer, airplane and explosion sounds, drums, and bass, switching to shimmering bells and hi hats in the second part.","This electronic dance track features a female vocalist singing a catchy melody over a driving beat provided by a prominent drum pattern and a strong bassline, accompanied by airplane and explosion sound effects that create an energetic and dynamic atmosphere. The song's second half features a sudden shift in mood, with the introduction of shimmer"
"joyous folk song with free-flowing flute and string melody, as well as wooden percussion","This is a folk song that features a breathy flute melody and a sustained strings accompaniment, accompanied by a variety of wooden percussion instruments, including shakers and percussion, to create a passionate and joyful atmosphere. The piece has a lively and carefree quality, with a focus on the flute and"
"A playful song with drums and trumpets, a child voice, and funny clicking sounds, suitable for a parody video.","This is a children's song that features a playful melody played by a child vocalist accompanied by a brass section, including trumpets, and a rhythmic section with a steady drum beat, along with percussive sound effects of clicking sounds, suitable for a comedic or parody video. The song's energetic"
"A heartfelt live performance with a male singer, accordion, guitar, and bells, sounding emotional and hopeful, probably recorded on a phone.","This is a live performance of a folk ballad, featuring a male vocalist accompanied by a solo accordion, acoustic guitar, and bells, with a heartfelt and emotional quality that is reminiscent of a traditional folk music. The recording quality is amateur, likely captured on a phone, with a warm and intimate atmosphere"
"Epic video game music with snowstorm and choir singing, perfect for a thrilling game face-off.","This is an epic video game soundtrack that features a dramatic and intense orchestral piece with a choir singing in a grand, operatic style, accompanied by a full symphony orchestra, including a prominent string section, a powerful brass section, and a driving percussion section, evoking a sense of urgency and"
"A hip hop love song with a male singer, emotional and romantic, good for dancing.","This is a romantic R&B/Hip Hop ballad that features a soulful male vocalist singing emotive lyrics over a sensual, syncopated beat with a strong emphasis on the kick drum and hi-hats, accompanied by a lush, atmospheric instrumental arrangement that includes a prominent bassline and a catchy"
"A recording of birds singing and bells playing a melody, like music you'd hear in a park.","This is a soundscape piece that features a natural soundscape of birds singing accompanied by a melodic line played on a set of bells, evoking a serene and idyllic atmosphere reminiscent of a park or a garden. The piece is an instrumental, ambient soundscape that could be used as background"
"A fast-paced song with rap/singing, energetic backing vocals, and digital sounds, perfect for listening in a car.","This high-energy song features a dynamic vocal performance with a rapper singing over a driving beat, accompanied by energetic backing vocals and a prominent digital sound design, including synthesized percussion and electronic effects, creating a captivating atmosphere that is well-suited for a high-energy setting like a car. The song's tempo and"
"Passionate live performance with emotional singing, guitar, piano, and crowd cheers. It's a romantic and heartfelt song.","This is a live performance of a ballad song, featuring a vocalist with a wide vocal range, singing with emotional intensity over a simple piano accompaniment and a melodic electric guitar. The song has a romantic and heartfelt atmosphere, with the crowd's cheers and applause adding to the energetic and sentimental"
"An opera-style song with female voice singing without words, accompanied by violins and root note bass, suitable for a fantasy game.","This is an instrumental opera piece, characterized by a female vocalist singing an a cappella melody, accompanied by a lush string section featuring violins, and a steady, pulsing bass line that plays the root notes of the chord progression, evoking a sense of mysticism and otherworldliness,"
joyful pop song with passionate male vocal with shiny drum set sounds and wooden percussion,"This is a pop song that features a passionate male vocalist singing over a mellow kick drum, shimmering hi hats, wide electric guitar melody, syncopated snare, and wooden percussion, with a happy and fun atmosphere. The audio quality is low, with the first half of the loop not"
"Spooky Arabic instrumental music with clarinet and knife sounds, like in a scary movie.","This is an instrumental piece of Arabic music that features a clarinet playing a haunting melody, accompanied by a variety of percussion instruments, including a darbuka and a riq, with the sound of a knife being used as an effect to create a sense of tension and foreboding, evoking"
"Passionate folk song with sitar guitar, groovy bass, accordion, and punchy percussion, with emotional vibes.","This is a folk music piece that features a sitar guitar playing the main melody, accompanied by a groovy bass line, accordion fills, and punchy percussion, evoking an emotional and passionate atmosphere. The song's instrumentation and rhythmic elements are reminiscent of traditional folk music from the Indian subcontinent"
A high-pitched synth melody that gradually builds up to an exciting moment.,"This electronic music piece features a soaring, high-pitched synth lead that gradually builds in intensity, culminating in a climactic and exciting moment, with a tempo that accelerates from a slow to a fast-paced rhythm. The piece is a classic example of a synth-heavy, euphoric electronic dance"
"A simple rock music piece with electric guitar and drums for a tutorial video or advertisement, with water sound effects.","This energetic rock music piece features a driving electric guitar melody accompanied by a steady drum beat, with a tempo that is slightly fast-paced, and is well-suited for a high-energy tutorial video or advertisement. The addition of water sound effects, such as a gentle stream or a soft splash, adds a"
"A lively 80s-style pop song with male singer, energetic beats, and nostalgic synth sounds.","This 80s-style pop song features a male vocalist singing over a driving beat, accompanied by a prominent bass line, syncopated hi hats, and a nostalgic synth sound with a prominent use of the Roland Jupiter-8, evoking a sense of energetic and carefree nostalgia. The song's"
"A cozy Christmas song with a deep male voice, harp, and strings, perfect for a family dinner at home.","This is a Christmas ballad that features a deep male vocalist accompanied by a lush harp and a string section, evoking a warm and intimate atmosphere, reminiscent of a family dinner at home. The piece is a traditional Christmas carol with a soothing melody, played on a harp and accompanied by"
"Fast banjo and violin playing with drum set, upright bass, for a funny TV show","This is a high-energy instrumental piece that features a banjo and violin playing a lively, syncopated melody over a driving drum set rhythm, accompanied by a walking bass line on the upright bass, evoking a playful and comedic atmosphere that would be well-suited for a TV show. The ban"
A sad rock song with a female singer and emotional guitar melody.,"This melancholic rock ballad features a female vocalist singing with emotional intensity over a poignant electric guitar melody, accompanied by a steady drum beat and a driving bass line, evoking a sense of sorrow and longing. The song's atmospheric soundscapes and heartfelt lyrics create a somber mood, characteristic of"
"A slow and emotional opera song with female singer, violin, cello, and intense brass and organ music.","This is a classical music piece, specifically an opera, that features a female vocalist singing a melancholic melody accompanied by a lush string section, including a solo violin and cello, and a dramatic brass section, with the organ providing a rich, sonorous foundation. The piece has a slow and intense"
"A song with a male singer, digital piano, and wooden percussion, sounding loud and distorted.","This is a digital pop song that features a male vocalist singing over a distorted digital piano accompaniment, accompanied by a rhythmic wooden percussion section, with a loud and energetic atmosphere. The song's sound is characterized by a high level of distortion and a driving beat, suggesting a high-energy performance."
Dreamy electric guitar music that can be used for making cool beats.,"This is an instrumental piece of music that features a dreamy electric guitar melody accompanied by a steady drum beat and a syncopated bass line, with a tempo that is slightly fast-paced and has a funky atmosphere, making it suitable for creating cool beats. The music is a fusion of rock and funk"
"instrumental piece with rhythmic guitar lead, relaxing funk","This melodic instrumental features a captivating electric guitar lead, rhythmic acoustic guitar, funky bass line, keyboard accompaniment, steady drumming, and trumpets, creating a soothing, atmospheric, euphonious, youthful, and soulful sound that is characteristic of Soft Rock/Funk pop. The"
"A song with a male singer and backup harmonies, emotional and romantic, with string, bass, guitar, drums, keyboard, and percussion, but with poor audio quality.","This is a ballad song that features a male vocalist accompanied by lush string harmonies, a strong bass line, and a mix of acoustic and electric guitar riffs, with a steady drum beat and keyboard accompaniment, set to a romantic and emotional atmosphere, but with a low audio quality that"
"A lively folk song with a passionate female singer, harmonica, groovy bass, and joyful guitar melody.","This lively folk song features a passionate female vocalist singing in a melodic manner, accompanied by a harmonica playing a lively melody, a groovy bass line, and a joyful electric guitar melody with a syncopated rhythm. The song has a lively, energetic atmosphere, with a strong emphasis on the"
"A magical song with flute and violin playing, creating a mystical atmosphere.","This is a classical instrumental piece that features a flute and violin as the main melodic instruments, creating a mystical and enchanting atmosphere with a soothing and otherworldly quality. The piece is characterized by a slow and contemplative tempo, with a focus on the expressive and emotive playing of the flute"
"Happy folk music with mandolin, banjo, and guitar, suitable for rural scenes.","This is a folk music piece that features a lively melody played by a mandolin, accompanied by a banjo and acoustic guitar, with a strong emphasis on acoustic percussion and a rural, down-to-earth atmosphere, evoking a sense of simplicity and traditional folk music. The piece has a cheerful and care"
"Fun children's song with male singer, percussions, guitar, and keyboards, perfect for a kids' party","This children's song features a male vocalist singing a catchy melody accompanied by a variety of instruments, including a percussive rhythm section, acoustic guitar strumming, and a bright keyboard accompaniment, evoking a joyful and energetic atmosphere. The song's instrumentation and tempo are well-suited for"
Passionate jazz song with saxophone solo and shimmering percussion.,"This is a jazz piece that features a saxophone solo, accompanied by a walking bass line, steady drumming rhythm, and shimmering percussion, creating a lively and energetic atmosphere. The tempo is medium with a strong emphasis on syncopation, and the saxophone's melodic lines are played with"
"A gospel choir with singers, piano, slow beat, and hopeful vibe.","This is a devotional gospel music piece, featuring a medium tempo with a steady piano accompaniment, accompanied by a choir singing in harmony, and a simple drumming rhythm that creates a hopeful and uplifting atmosphere. The song's mellow and soulful quality is reminiscent of a traditional black gospel music"
An upbeat anime song with female vocals and fast rhythm.,"This upbeat anime song features a female vocalist singing a catchy melody over a driving rhythm section, with a tempo that is fast-paced and energetic, accompanied by a prominent electric guitar and a pulsing bass line. The song's energetic and youthful atmosphere is reminiscent of a classic anime opening or ending theme, with"
"A spooky electronic sound playing with a piano in the background, like practicing playing along with a song.","This electronic music piece features a repetitive, atmospheric sound design accompanied by a sustained piano melody, with a tempo that is slightly slow and steady, evoking a sense of eeriness and foreboding. The audio quality is low, with a clear indication that it is a recording of a musician practicing along"
"A slow and emotional instrumental piece with a theremin and guitar, giving a melancholic vibe.","This is a melancholic instrumental piece that features a theremin as the main melodic instrument, accompanied by a guitar playing a complementary harmony, with a slow tempo and a somber atmosphere. The piece is a slow and contemplative soundscape that evokes a sense of emotional introspection, with the"
groovy reggae piece with male singer,"This is a reggae/dub song that features a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats, and groovy piano chords, with a recording quality that is noisy and in mono due to the sound being predominantly coming from the right channel."
"A simple and sensual electronic music piece with drum, guitar, and cymbal sounds, suitable for a romantic movie scene.","This is a sensual electronic music piece that features a slow tempo with a sensual atmosphere, accompanied by a minimalist drum pattern, a soft electric guitar melody, and a subtle cymbal sound, evoking a romantic mood suitable for a movie scene. The piece is characterized by a minimalist and intimate instrumental arrangement"
"A playful children's song sung by a man, played on a toy, with some distorted sound.","This children's song features a male vocalist singing a playful melody accompanied by a toy instrument with a distorted sound quality, likely due to the low-fidelity recording. The audio is amateur and features a simple percussion beat and other instruments playing fills in the background, with the sound of a child giggling heard"
"A powerful song with strong drums, e-guitar bass, and male vocals, like in an action movie.","This is an energetic and aggressive rock music piece, characterized by a male vocalist singing over a driving electric guitar melody, a strong and powerful bass line, and a fast-paced drum beat, evoking a high-energy atmosphere reminiscent of an action movie soundtrack. The song features a prominent electric guitar sound, a"
"A catchy teen pop song with a girl singer, guitar, drums, and bass, suitable for a teenage movie or a clothing store background music.","This upbeat teen pop song features a female vocalist singing a catchy melody over a driving rhythm section, with a prominent electric guitar playing chords and a steady bass line, accompanied by a crisp drum beat, creating a youthful and energetic atmosphere suitable for a coming-of-age movie or a trendy clothing store background music."
"Lively Latin song with male singer, guitar, percussion, and tambourine, with a catchy dance beat.","This Latin dance track features a male vocalist singing the main melody over a rhythmic guitar accompaniment, accompanied by a variety of Latin percussion instruments, including a tambourine, and a driving ""clave"" rhythm that propels the song's energetic and danceable tempo. The song's instrumentation and"
"Polish folk music for weddings with fiddle, joyful vibe, like a movie set in Eastern Europe.","This traditional Eastern European folk piece features a lively fiddle melody accompanied by a lively percussion section, including a guitar and a bass, with a joyful and celebratory atmosphere, evoking the feeling of a traditional wedding in a rural Eastern European setting. The music's energetic tempo and folk instrumentation would be well"
"A live concert recording with loud crowd noise, beat boxing like in a dance party.","This live concert recording features a high-energy performance with a loud and boisterous crowd, accompanied by a vocalist beat boxing and rapping over a driving electronic drum beat, with a strong emphasis on the kick drum and snare. The audio quality is poor due to the loud crowd noise, but the"
"Acoustic guitar playing chords and melody at the same time with reverb, could be heard at an art gallery.","This piece is an instrumental acoustic guitar piece that features a solo performance with the guitar playing a chordal accompaniment and a melodic line, accompanied by a reverb effect that creates a sense of space and atmosphere, evoking a contemplative mood that would be fitting for an art gallery setting."
"A fun Afro-Cuban dance song with male singers and lively percussion, good for making beats.","This Afro-Cuban dance track features a male vocalist singing over a lively rhythmic pattern, accompanied by a variety of percussion instruments, including congas, bongos, and timbales, with a strong emphasis on Afro-Cuban clave and Afro-Cuban rhythmic patterns. The"
"soul, romantic love song with lush saxophone, drum and piano accompaniment","This is a slow-paced R&B/Soul song that features a romantic male vocalist accompanied by lush saxophone harmonies, a steady drum pattern, and a sentimental piano accompaniment, evoking a mellow and emotional atmosphere. The song's soothing melody and sensual instrumental textures are reminiscent of a proposal"
"A dance song with catchy synth melody, drum beat, and stomping sounds, perfect for a club.","This is a dance music piece that features a catchy electronic synth melody, a driving drum beat, and prominent stomping sounds, evoking a high-energy atmosphere that is well-suited for a club setting. The song's tempo and rhythmic elements are likely to be fast-paced and syncopated,"
"A pop song with a male singer, basic beat, and romantic vibe suitable for a movie.","This is a pop song that features a male vocalist singing over a simple, steady beat, accompanied by a basic drum pattern and a melodic bass line, with a romantic and sentimental atmosphere that would be suitable for a romantic movie scene. The song's emotional and intimate quality is enhanced by the vocalist's"
"A playful mix of digital sounds that go up in pitch, recorded informally.","This is an electronic music piece that features a playful and childlike atmosphere, with a melodic progression of digital sounds that ascend in pitch, accompanied by a low-quality recording that suggests an informal or amateur production. The audio quality is poor, with a flat and reverberant sound, and the digital"
"An upbeat Ukrainian pop song with catchy melody, fast tempo, and lively instruments like keyboard, drums, bass, and guitar.","This upbeat Ukrainian pop song features a catchy melody played on a synthesizer, accompanied by a fast-paced rhythm section consisting of a driving drum beat, a prominent bass line, and a lively electric guitar, creating an energetic and lively atmosphere. The song's tempo is fast-paced, with a strong emphasis on"
"Fast classical music with cello and harpsichord, lively and engaging.","This is a lively and engaging classical music piece that features a fast-paced tempo, with the cello playing the main melodic line and the harpsichord providing a lively accompaniment, evoking a sense of energetic and dynamic movement. The piece is characterized by a strong rhythmic drive,"
"Playing drums with flute and synth music in the background, good for practicing at home.","This instrumental piece features a drum solo accompanied by a flute melody and a synth accompaniment, with a tempo that is well-suited for home practice. The music is a fusion of electronic and acoustic elements, with a focus on the rhythmic and melodic interplay between the drumming and the"
"Upbeat Indian dance music with bansuri flute and harmonium, perfect for a dance class.","This is an energetic and lively Indian folk instrumental piece, featuring a bansuri flute as the main melodic instrument, accompanied by a harmonium providing a steady rhythmic accompaniment, and a driving tabla beat, evoking a joyful and energetic atmosphere that is well-suited for a dance class."
"Chill music with synth chords, snappy drums, and a relaxed vibe.","This is a melodic electronic music piece that features a soothing atmosphere, with a repetitive synth chord progression accompanied by a steady drum pattern that includes snappy hi hats and a kick drum, creating a relaxed and calming mood. The tempo is medium with a steady beat, and the overall feel is mellow"
"A song with a female singer, fast drums, and electric guitars with effects, maybe for a birthday party.","This high-energy song features a female vocalist singing over a driving rhythm section with fast-paced drumming and a prominent electric guitar lead with a variety of effects, including distortion and overdrive, to create a dynamic and energetic sound. The song's tempo and instrumentation are well-suited for a lively atmosphere,"
"A slow, groovy instrumental song with drums, bass guitar, and piano, possibly for worship or relaxation.","This is a slow, instrumental piece that features a mellow piano accompaniment, a steady bass line, and a groovy drum beat, evoking a soothing atmosphere that is well-suited for worship or relaxation. The song's tempo and instrumentation are reminiscent of a contemporary instrumental worship piece or a"
"Two catchy songs for ads, first one with guitar and bass, second with piano, male voices, and female singer.","The first song is a high-energy pop-rock piece, characterized by a catchy electric guitar melody and a driving bass line, with a tempo that is fast-paced and energetic, making it suitable for an action-packed advertisement. The second song is a catchy pop ballad, featuring a male vocalist and a female"
"An energetic rock song with a male singer, electric guitar, drums, and cymbals, making you feel pumped up.","This high-energy rock piece features a male vocalist singing with a strong, aggressive tone, accompanied by a driving electric guitar melody, a pounding bass line, and a fast-paced drum beat with prominent cymbal crashes, creating an energetic and invigorating atmosphere. The song's tempo and instrumentation are reminiscent"
"Korean pop song with male singer, romantic piano, drums, and synthesizer backup.","This is a K-pop song that features a male vocalist singing over a romantic piano melody, accompanied by a driving drum beat and lush synthesizer harmonies, creating a sentimental and emotive atmosphere. The song's instrumentation is a blend of traditional piano and modern electronic elements, with a focus on the vocalist"
"A sad rock song with male singer and piano melody, suitable for emotional content.","This melancholic rock ballad features a male vocalist singing a poignant melody over a simple piano accompaniment, with a focus on emotional, heartfelt lyrics that evoke a sense of sorrow and introspection. The song's mellow, acoustic piano melody and the vocalist's emotive delivery create a somber"
